13417,"Latitude","Longitude"
"27IS",38.15,88.67
"8IS5",40.82,87.99
"0IL3",40.16,87.67
"IS88",40.15,87.69
"DNV",40.2,87.6
"IL23",42.44,89.45
"DKB",41.93,88.71
"0IL9",41.85,88.79
"IS80",41.92,88.79
"0IL8",41.87,88.72
"DEC",39.83,88.87
"0IS3",41.66,89.69
"1IL2",40.35,89.47
"1IL6",41.87,89.44
"C73",41.83,89.45
"6IL5",37.39,89.16
"1IL8",40.93,87.6
"IS52",40.93,87.62
"01IS",39.02,90.32
"LL22",41.73,88
"08IS",37.98,89.2
"IS13",39.58,87.85
"47IS",42.49,89.36
"2IL1",42.41,89.33
"DTG",41.13,88.44
"61IS",41.05,88.39
"08LL",41.08,88.49
"2IL2",41.05,88.46
"7IL9",41.54,88.99
"IL99",41.59,88.97
"C94",41.57,88.95
"06IL",41.6,88.87
"8IL6",38.86,88.66
"9LL5",39.65,89.46
"1H2",39.07,88.53
"1IL0",40.78,89
"63IS",40.77,88.98
"2IS3",41.17,89.81
"3IL2",41.41,88.05
"LL13",38.05,88.3
"IS15",42.03,88.9
"5IS3",38.08,89.98
"26IS",40.77,88.51
"4IL2",40.81,88.54
"57IS",38.32,88.27
"FWC",38.38,88.41
"5IS7",40.04,87.78
"IS26",40.18,88.62
"70IL",39.42,89.57
"28IS",39.19,89.31
"35IS",39.53,88.76
"33IS",39.54,88.76
"62IS",40.09,87.91
"FOA",38.67,88.45
"LL40",41.48,87.84
"15IL",41.8,89.27
"FEP",42.25,89.58
"C86",42.38,89.56
"77LL",42.42,90.5
"22IL",42.41,90.4
"GBG",40.94,90.43
"3G8",41.44,90.11
"30IS",42.08,88.63
"6IL0",42.13,88.7
"6IL3",42.17,89.5
"9IS2",40.48,88.27
"IL45",40.31,88.02
"7IS5",42.12,88.38
"6IL6",42.12,88.41
"LL45",39.18,89.82
"48IL",38.97,90.25
"16IS",37.58,89.01
"55IS",39.53,87.81
"7IL0",41.27,87.58
"C81",42.32,88.07
"IS82",39.34,90.18
"LL20",39.31,90.28
"7IL3",40.43,89.6
"GRE",38.84,89.38
"10C",42.4,88.38
"IS64",40.72,88.87
"51IS",39.66,90.7
"39LL",40.4,91.3
"IL32",39.78,88.62
"68IS",42.15,88.56
"7IL7",42.13,88.53
"3IS4",42.29,90.35
"2IL6",39.14,90.63
"7IL8",41.52,88.84
"HSB",37.81,88.55
"8IL0",42.35,88.63
"0C0",42.4,88.63
"8IL2",42.48,88.6
"8IL1",42.41,88.65
"9I0",40.22,90.02
"4IS5",38.26,89.94
"9IL0",41.09,89.39
"9IS9",40.33,88.96
"9IL3",40.28,89.03
"H07",38.78,89.64
"3K4",39.14,89.46
"9IL7",41.51,90.18
"79IS",39.44,90.56
"0C2",41.77,88.7
"6IS8",39.99,87.91
"04IL",40.64,89.01
"82IS",42.14,88.4
"6IL2",42.22,88.42
"IL71",37.82,89.15
"2IS4",41.34,91.01
"1IL1",39.24,89.43
"83IS",38.43,89.13
"IJX",39.77,90.24
"0LL1",39.09,90.31
"0LL3",39.06,90.34
"LL49",39.06,90.27
"JOT",41.52,88.18
"IL78",41.13,87.79
"IKK",41.07,87.85
"12IL",41.2,88.02
"3KK",41.1,87.92
"47IL",40.95,88.27
"EZI",41.21,89.96
"32IS",40.14,91.01
"00IS",40.03,89.12
"16IL",42.07,88.83
"IS59",42.13,88.92
"IS55",40.59,90.94
"35IL",41.53,89.2
"0LL4",41.42,89.12
"C75",41.02,89.39
"2IS5",40.95,89.41
"5IS4",39.77,88.78
"6IL4",42.16,89.89
"1IS4",42.13,89.82
"LWV",38.76,87.61
"IS34",38.71,87.63
"26IL",42.12,89.37
"48LL",42.13,89.46
"28IL",42.1,89.42
"65IS",41.02,88.98
"96IL",42.38,89.85
"2IS6",42.42,89.82
"34IL",40.36,90.11
"48IS",40.6,88.83
"AAA",40.16,89.34
"IL64",40.18,89.5
"37IL",40.13,89.33
"41IL",42.07,89.03
"93IL",42.07,89.02
"2IS7",42.06,89
"3LF",39.16,89.67
"IL65",41.01,90.71
"IL72",41.12,89.04
"2V3",41.18,89.15
"0IS4",39.76,88.67
"IS00",40.84,89.27
"9IL6",40.51,89.37
"MQB",40.52,90.65
"LL27",40.45,90.62
"C45",40.49,89.78
"53IL",40.15,88.52
"04IS",40.18,88.57
"55IL",41.28,87.82
"19LL",41.26,87.92
"58IL",41.24,87.86
"LL24",41.21,87.79
"59IL",41.93,88.65
"66IL",42.27,88.57
"63IL",42.18,88.59
"65IL",42.2,88.62
"62IL",42.19,88.6
"37IS",42.33,88.61
"64IL",42.24,88.67
"IS57",42.18,88.63
"MWA",37.76,89.01
"3LL1",38.22,89.7
"69IL",41.37,88.68
"34IS",41.44,88.72
"67IL",41.37,88.65
"68IL",41.4,88.68
"3LL3",39.45,87.64
"9LL9",39.48,88.47
"MTO",39.48,88.28
"1IL9",40.3,89.12
"3LL8",38.07,88.54
"IS60",39.19,90.16
"0C7",41.52,89.13
"81LL",41.57,89.17
"IS69",39.92,90.51
"M30",37.19,88.75
"1IL4",38.42,90.13
"81IL",40.44,89.36
"4IS6",40.93,89.12
"83IL",40.89,89.1
"87IL",41.52,88.27
"84IL",41.51,88.28
"37LL",38.05,90
"MLI",41.45,90.51
"90IL",41.2,87.56
"C56",41.38,87.68
"2IL9",41.43,87.78
"03IL",41.4,87.82
"36IS",40.93,90.73
"C66",40.93,90.63
"82LL",42.13,88.99
"IS40",42.09,89.03
"2K0",40.01,88.56
"LL39",41.26,88.48
"C09",41.42,88.42
"4IL5",41.73,90.01
"4LL9",39.34,89.42
"05IS",39.73,89.26
"5LL0",38.41,87.84
"AJG",38.61,87.73
"LL07",42.06,89.97
"C55",42.04,89.39
"I63",39.99,90.8
"MVN",38.32,88.86
"5LL1",39.65,88.98
"5LL2",39.61,88.86
"LL09",42.28,88.09
"5LL3",39.77,88.1
"4IL8",37.76,89.38
"LL10",41.73,88.2
"9IS0",40.54,91.33
"06IS",40.55,91.27
"38IS",40.58,91.36
"6LL1",39.31,88.34
"6LL0",39.32,88.43
"3LL6",38.34,89.77
"83LL",38.3,89.86
"LL26",38.28,89.87
"6LL4",38.27,89.89
"IS73",41.53,89.7
"IL24",39.71,89.88
"6LL5",39.79,89.99
"IL97",39.74,89.81
"69LL",41.29,91.05
"6LL6",38.49,89.66
"0C8",41.52,88.61
"IS41",41.46,88.59
"7LL3",38.93,88.16
"7LL8",39.35,89.3
"LL18",41.1,90.45
"7LL9",38.26,89.47
"8LL0",38.89,89.56
"OLY",38.72,88.18
"2IL5",37.93,88.23
"IL22",41.01,90.88
"LL23",41.02,90.88
"67LL",41.99,89.33
"85LL",41.68,88.26
"8N2",41.4,88.79
"5K1",39.42,89.99
"PRG",39.7,87.67
"LL54",41.72,89.03
"1IS5",41.65,89
"8LL7",39.59,89.59
"3IS5",39.68,89.6
"LL32",40.45,88.08
"52IL",40.41,88.07
"1C1",40.45,88.13
"9LL0",39.82,91.22
"88LL",42.19,89.84
"IS19",42.34,89.32
"IS78",42.37,89.23
"8IL5",42.37,89.35
"C15",40.49,89.68
"PIA",40.66,89.69
"3MY",40.8,89.61
"2IL4",39.78,90.75
"LL43",41.45,89.17
"VYS",41.35,89.15
"LL44",41.3,89.11
"24LL",38.09,89.46
"5IL2",38.06,89.39
"PJY",37.98,89.36
"01LL",38.13,89.46
"LL46",40.84,88.15
"PPQ",39.64,90.78
"LL51",41.6,88.27
"72IS",41.63,88.57
"LL53",42.01,88.46
"23IS",40.33,90.83
"3LL9",38.8,89.61
"LL55",41.99,89.56
"00IL",41.98,89.56
"70LL",40.94,88.75
"2LL7",40.93,88.74
"PNT",40.92,88.62
"71LL",40.84,88.56
"LL56",40.88,88.59
"IS66",40.59,91.2
"C77",42.32,88.84
"72LL",41.37,89.34
"LL65",41.19,89.45
"LL64",41.2,89.39
"88IS",40.01,91.38
"UIN",39.94,91.19
"IS24",39.08,89.08
"TIP",40.29,88.14
"91LS",38.21,90.04
"89IS",38.22,89.98
"91IS",39.82,89.5
"86IS",40.78,89.26
"RSV",39.02,87.65
"LL74",42.01,89.05
"75IS",41.9,89.17
"RPJ",41.89,89.08
"92IS",39.74,89.48
"LL75",42.43,89.45
"LL91",42.42,89.45
"IS93",42.44,89.5
"1C8",42.29,89.14
"LL80",42.38,89.16
"LL78",42.31,89.15
"LL79",42.39,89.13
"LL81",42.38,89.07
"LL89",42.49,89.11
"LL87",42.46,88.9
"LL88",42.48,89.09
"LL90",42.45,88.9
"LL94",42.43,89
"3IS2",40.74,90.67
"95IL",37.49,88.4
"LL97",42.34,88.08
"94IS",37.9,89.14
"5K4",40.12,90.59
"SLO",38.64,88.96
"0LL6",41.7,88.61
"93LL",41.59,88.61
"IS94",41.61,88.66
"IS65",41.64,88.64
"SFY",42.05,90.11
"1LL0",41.33,88.6
"1LL2",41.3,88.64
"4IS7",40.07,88.4
"1LL6",42.23,89.74
"2IL0",42.18,89.68
"1LL7",41.35,89.77
"2H0",39.41,88.85
"1LL8",40.79,87.56
"2LL1",41.54,88.69
"IS95",41.56,88.66
"2LL2",41.31,90.55
"IS71",42.46,89.2
"2LL3",40.39,89.07
"96IS",39.88,87.85
"2LL5",40,88.06
"2LL9",41.7,88.69
"49IL",41.59,88.69
"3LL0",42.49,89.1
"4IS8",40.02,89.55
"SAR",38.15,89.7
"IS62",40.87,89.45
"3LL4",42.45,88.2
"3LL5",42.46,88.23
"SPI",39.84,89.68
"0LL2",40.74,90.38
"4IL4",39.06,88.82
"3K6",38.73,89.81
"0LL5",40.11,88.08
"9IL2",40.07,88.03
"IS33",39.05,89.84
"LL38",41.81,89.84
"SQI",41.74,89.68
"3IL7",41.8,89.02
"4LL0",41.84,89.09
"4LL1",41.85,89.09
"9IL4",41.81,89.05
"96LL",40.62,87.61
"4LL3",42.31,89.98
"99IL",42.29,89.96
"IS37",42.32,89.99
"IS54",39.64,89.14
"54IL",41.13,88.8
"LL52",41.16,88.94
"85IL",39.64,88.64
"IS08",40.26,90.24
"26LL",42.01,88.72
"4LL8",42,88.65
"4LL7",42,88.67
"IL54",40.34,90.44
"08IL",41.58,89.79
"TAZ",39.53,89.33
"56IS",40.24,88.08
"IS56",40.09,90.89
"15LL",41.24,89.54
"5LL5",40.7,89.88
"K96",39.78,88.31
"5LL7",42.21,88.52
"55LL",42.15,88.51
"5LL8",41.11,88.14
"6IS0",40.1,88.13
"C16",40.15,88.2
"27LL",38.38,90.32
"VLA",38.99,89.17
"IS43",39.87,88.08
"6LL2",41.16,90.56
"25IL",39.52,89.86
"LL34",40.22,88.92
"95IS",40.37,91.39
"56LL",41.76,88.77
"98LL",40.8,87.78
"IS02",40.78,87.79
"6LL8",40.79,87.73
"2T2",39.01,88.54
"7LL4",40.12,88.76
"3IS7",41.09,89.1
"8IL3",41.74,89.16
"7LL7",41.74,89.17
"7LL6",41.7,89.14
"04LL",42.14,88.29
"28LL",39.46,88.87
"3LS7",39.99,89.51
"20IS",42.5,89.79
"IS77",39.22,89.33
"12LL",37.54,89.49
"8LL1",42.36,88.51
"8LL2",41.37,89.56
"75LL",41.08,89.76
"2C6",40.77,90.07
"IL02",42.47,87.91
"IN19",39.64,85.98
"II05",41.07,86.06
"0II0",40.26,85.25
"II77",40.26,85.26
"98IN",41.36,85.39
"3IN5",41.32,85.37
"I99",40.23,85.64
"8IN9",39.69,86.6
"AID",40.11,85.61
"34II",40.05,85.6
"II16",41.64,84.95
"ANQ",41.64,85.08
"9II4",40.17,85.94
"IN27",40.18,86.12
"II27",40.17,85.94
"1IN3",41.1,85.24
"3II9",41.1,85.24
"2IN4",41.26,86.19
"99IN",40.21,86.1
"4IN7",40.3,87.23
"GWB",41.31,85.06
"22IN",41.35,85.01
"50II",39.77,86.76
"IN64",39.56,86.2
"II93",39.48,86.23
"7II9",39.58,86.18
"HLB",39.34,85.26
"BFR",38.84,86.45
"05IN",39.64,86.5
"8II0",38.86,85.1
"06IN",39.28,87.3
"1I3",39.04,87.01
"BMG",39.15,86.62
"II01",40.76,85.25
"C40",40.72,85.25
"88IN",39.58,85.93
"07IN",39.57,85.91
"58II",39.52,85.9
"I91",38.04,87.32
"6II4",37.98,87.3
"IN09",40.52,87.41
"IN11",41.29,86.07
"4IN5",41.34,86.15
"II95",41.36,86.06
"0I2",39.48,87.1
"3II8",41.44,86.26
"0II2",41.46,86.12
"IN42",41.49,86.2
"0II1",40.43,86.15
"IN69",41.67,85.83
"II04",40.88,87.37
"4II9",40.61,86.88
"II83",39.83,86.43
"38IN",39.9,86.36
"36II",39.84,86.35
"54II",40.62,86.16
"0II3",40.63,86.04
"69II",41.37,84.88
"B25",41.48,84.91
"40II",41.35,84.82
"II02",41.39,84.83
"8IN7",39.05,85.52
"0IN5",38.33,86.03
"II06",39.97,85.47
"1II3",38.96,87.39
"II30",38.91,87.4
"IN81",39.75,85.56
"48II",41.19,85.02
"12II",39.86,84.97
"II32",38.05,87.38
"II33",38.46,87.66
"66IN",39.79,85.64
"IN70",41.63,87.03
"9IN8",41.23,85.36
"IN62",41.24,85.3
"18II",40.12,86.07
"II34",39.27,87.12
"1I7",39.71,87.4
"II07",39.53,86.83
"IN88",39.51,86.76
"09IN",41.12,85.43
"29IN",41.08,85.39
"IN71",41.19,85.52
"3IG3",41.17,85.42
"30IN",41.21,85.46
"BAK",39.26,85.9
"91IN",39.21,85.97
"CEV",39.7,85.13
"10IN",39.72,85.05
"1I8",40.57,85.89
"1II4",38.13,86.16
"CFJ",39.98,86.92
"3IN8",41.2,86.35
"IN54",41.28,86.46
"1II5",41.25,86.5
"37II",41.18,86.37
"11IN",39.82,86.54
"II82",39.79,86.58
"12IN",38.12,87.65
"II85",40.9,85.05
"13IN",40.82,84.93
"9IN4",38.53,87.59
"0IN1",38.5,87.6
"4II0",40.61,86.74
"1I9",40.54,86.68
"IN76",41.13,86.69
"II08",40.66,87.44
"IN63",40.37,85.34
"1IN4",38.14,85.99
"EKM",41.72,86
"3C1",41.66,86.03
"78I",39.5,86.69
"II09",39.57,86.62
"2II1",41.61,85.53
"IN80",38.32,86.49
"EVV",38.04,87.53
"IN36",38.04,87.72
"3EV",38.01,87.59
"64IN",40.43,85.63
"17IN",38.98,85.11
"18IN",39.28,87.41
"IN57",39.26,87.42
"4II3",39.74,86.73
"IN98",39.68,85.84
"5I2",40.54,86.55
"FWA",40.98,85.2
"SMD",41.14,85.15
"II36",39.67,85.82
"II39",38.34,87.47
"19IN",40.19,86.52
"FKR",40.27,86.56
"20IN",39.51,86.05
"3FK",39.43,86.06
"63II",39.51,86.03
"2II3",40.23,85.82
"40IN",39.07,86.15
"FRH",38.51,86.64
"5I6",40.58,86.26
"II10",40.58,86.17
"GYY",41.62,87.41
"1II2",40.62,84.83
"9IN9",40.08,87.52
"35II",41.54,85.84
"GSH",41.53,85.79
"0II6",41.64,85.83
"3II1",39.42,86.64
"II11",41.21,84.99
"II43",41.75,86.19
"IN82",41.75,86.09
"II12",40.96,86.37
"38II",39.73,86.82
"II29",39.61,86.76
"4I7",39.63,86.81
"II37",39.75,85.77
"0II7",39.8,85.79
"GFD",39.79,85.74
"79II",39.88,85.7
"4II8",39.72,85.72
"6II2",39.73,85.72
"I34",39.33,85.52
"67II",39.37,85.59
"62IN",40.43,85.98
"8IN2",39.62,86.03
"05C",41.52,87.4
"I61",39.89,85.16
"0II9",39.53,86.58
"7IN2",41.5,84.88
"IN83",41.5,84.93
"64I",38.63,85.44
"75II",38.45,86.26
"80IN",41.2,84.81
"IN18",41.27,84.81
"II67",40.43,85.37
"21IN",40.42,85.36
"II45",37.89,87.19
"8II3",38.21,87.58
"II96",38.49,86.93
"8II5",40.9,85
"3HO",41.55,87.26
"9IN3",41.56,87.23
"9II8",39.09,85.37
"1II0",39.58,85.59
"25IN",41.7,85.42
"HNB",38.25,86.95
"II14",40.96,85.56
"IN85",40.84,85.48
"HHG",40.85,85.46
"EYE",39.83,86.29
"HFY",39.63,86.09
"2R2",39.75,86.48
"TYQ",40.03,86.25
"IND",39.72,86.29
"UMP",39.94,86.05
"MQJ",39.84,85.9
"7L8",39.75,86.01
"IN25",40,86.58
"57II",39.96,86.57
"8II1",39.18,87.13
"IN08",39.17,87.19
"JVY",38.37,85.74
"C62",41.47,85.26
"50I",40.76,87.43
"II15",40.99,86.34
"IN10",40.98,86.42
"26IN",39.82,85.59
"II17",41.27,86.56
"IN87",41.35,86.63
"OXI",41.33,86.66
"3C5",41.19,86.61
"IN86",41.28,86.63
"8I3",40.43,86.2
"53IN",40.52,86.22
"2II0",40.42,86.15
"OKK",40.53,86.06
"II18",41.34,86.93
"78II",40.64,85.69
"PPO",41.57,86.73
"42II",41.68,86.77
"28II",37.97,86.06
"II19",40.41,86.75
"LAF",40.41,86.94
"IG02",40.27,86.91
"31IN",40.29,86.86
"6IN3",40.35,86.76
"C98",41.15,87.46
"II49",38.04,86.91
"IN14",38.24,86.02
"IN13",38.22,85.98
"76II",41.28,85.27
"II38",41.43,86.32
"66II",40.04,85.87
"6I4",40.01,86.44
"49II",39.61,87.02
"II28",41.21,85.06
"II50",39.48,86.68
"8II2",39.65,84.87
"II20",40.67,85.26
"47II",41.06,85.69
"II51",41.48,85.59
"IN89",41.45,85.61
"II21",41.48,85.69
"7IN6",38.58,86.25
"6II7",39.89,86.58
"II52",39.88,86.53
"GGP",40.71,86.38
"C97",41.23,87.51
"0II8",41.32,87.48
"IN90",41.26,87.48
"73IN",38.98,87.02
"II53",38.77,85.48
"II54",38.82,85.45
"IMS",38.76,85.46
"IN91",41,84.99
"MZZ",40.49,85.68
"3IN4",40.78,85.34
"II13",39.92,85.6
"II55",39.53,86.3
"IN20",39.45,86.28
"90IN",39.41,86.44
"89IN",39.51,86.39
"II87",39.45,86.33
"II22",41.1,86.93
"3II5",41.08,86.77
"2IN3",41.08,86.92
"C92",41.15,86.06
"47IN",38.99,87.52
"9II0",41.28,85.44
"MGC",41.7,86.82
"II03",39.2,85.14
"70IN",39.18,85.15
"92IN",41.42,85.85
"9II2",41.69,86.16
"72IN",40.91,86.87
"IN58",40.9,84.85
"6IN6",39.55,86.48
"9IN6",39.84,87.34
"MCX",40.71,86.77
"IN00",40.55,87.05
"74IN",40.57,85.34
"IN21",40.04,85.26
"IG07",39.06,85.04
"20II",39.59,86.28
"IN99",39.41,86.31
"9IN7",39.35,86.31
"II84",37.93,87.77
"2II2",37.99,87.94
"22II",37.92,87.76
"0IN9",37.99,87.95
"7II3",38,87.76
"IN23",37.91,87.76
"IN56",40.13,85.43
"MIE",40.24,85.4
"02IN",40.21,85.54
"7I2",40.15,85.32
"C03",41.45,85.93
"IN93",41.71,86.43
"UWL",39.88,85.33
"15IN",38.15,87.84
"56IN",41.08,84.94
"05II",41.03,85
"04II",41.13,84.99
"9IN2",38.56,85.87
"2IN9",39.57,86.12
"5II2",39.56,86.14
"5II1",39.78,86.62
"II59",39.84,87.39
"11II",39.34,86.03
"II42",40.07,85.92
"2IN6",40.04,85.92
"II94",40.13,85.89
"I80",40,85.96
"II86",40.02,85.89
"4II4",41.26,86.79
"II90",41.2,86.84
"9II3",41.56,86.47
"IN38",41.55,86.45
"82IN",40.98,85.93
"45IN",39,85.75
"IN67",38.94,85.74
"OVO",39.05,85.61
"2IG4",38.85,87.5
"7I4",38.66,86.44
"2IN0",40.84,85.17
"IN29",40.57,87.1
"4II6",38.38,86.08
"5II8",38.41,86.13
"I42",38.58,86.46
"IG03",39.39,86.6
"1IN0",40.13,85.23
"IN30",38.4,87.6
"IN43",38.48,86
"6IN5",40.03,85.78
"IN31",40.02,85.75
"IN32",39.98,85.74
"83IN",40.74,86
"GUS",40.65,86.15
"I76",40.79,86.15
"IN33",40.74,86.12
"IN34",40.83,86.05
"IN03",38.46,87.25
"1IN6",40.4,87.22
"II91",39.84,86.51
"46IN",41.38,86.22
"II62",41.39,86.26
"C65",41.37,86.3
"3IN2",40.42,85.86
"PLD",40.45,84.99
"34IN",40.34,85.02
"7IN3",38.24,87.79
"61Y",38.21,87.77
"52IN",39.34,87.53
"IN41",40.35,85.05
"II26",40.7,87.19
"4IN8",40.87,87.07
"II65",40.89,87.12
"RZL",40.95,87.18
"IN39",40.77,86.92
"RID",39.76,84.84
"IN47",39.77,84.92
"31II",38.93,84.91
"IN45",39.83,86.88
"2IN2",41.01,85.37
"8IS2",41,85.39
"44II",40.95,85.39
"RCR",41.07,86.18
"IN46",39.74,87.22
"45II",41.63,86.59
"6IN8",39.53,85.32
"IN05",39.66,85.55
"II68",39.86,86.96
"IN44",38.56,86.06
"71IN",38.67,86.01
"I83",38.6,86.14
"IN26",41.26,86.87
"16II",41.18,86.93
"II69",38.72,85.76
"3R8",38.66,85.79
"61IN",38.71,85.6
"SER",38.92,85.91
"95IN",38.89,85.83
"II70",40.38,86.06
"93IN",39.59,85.74
"70II",39.52,85.69
"IN49",39.49,85.81
"GEZ",39.58,85.8
"IN50",39.44,85.77
"II97",39.48,85.88
"5I4",40.18,86.22
"IN51",40.14,86.15
"IN65",41.69,85.6
"1IN5",38.28,87.38
"3IN7",41.66,86.35
"SBN",41.71,86.32
"IN53",39.29,86.82
"II25",39.34,86.78
"58IN",41.26,84.86
"7IN9",40.04,85.41
"43IN",38.14,87.68
"II89",38.09,87.68
"37IN",40.29,86.78
"49IN",39.13,87.38
"SIV",39.11,87.45
"2IN5",40.02,85.47
"39IN",40,85.43
"II72",39.2,85.21
"4IN9",41.42,85.69
"85IN",40.43,87.51
"TEL",38.02,86.69
"3I3",39.55,87.38
"HUF",39.45,87.31
"2II6",40.26,86.1
"35IN",40.29,85.94
"5IN3",40.3,86.05
"0IN2",40.83,85.09
"39II",41.51,85.55
"IN72",40.79,85.24
"4C1",41.45,86.79
"09II",38.45,86.45
"VPZ",41.45,87.01
"5IN4",41.48,86.95
"IN55",40.08,87.26
"32II",38.82,85.11
"8I1",38.69,85.2
"IN92",38.65,87.56
"28IN",38.64,87.43
"IN15",38.6,87.46
"IWH",40.76,85.8
"II74",41.56,86.05
"6IN4",39.47,85.7
"6IN2",39.49,85.65
"17II",41.45,86.51
"87IN",41.45,86.47
"59IN",41.47,86.45
"4IN4",39.98,87.18
"6II0",40.65,86.29
"5IN5",41.29,85.9
"ASW",41.27,85.84
"DCY",38.7,87.13
"4C2",41.43,84.98
"51IN",40.49,86.91
"I72",40.05,86.16
"IN60",40.02,86.16
"IN04",38.85,87.24
"5IN6",41.59,86.9
"68IN",41.12,87
"IN61",41.26,87.13
"6II8",38.65,87.28
"II78",39.86,85.6
"RWN",41.09,86.61
"0IN3",41.12,86.67
"II79",41.08,86.72
"I22",40.17,84.93
"II81",38.38,87.22
"5IN9",41.32,85.47
"0IN4",41.13,84.95
"3II3",41.09,84.84
"55IN",41.14,84.86
"53II",41.07,84.84
"5II9",39.35,87.37
"K78",38.9,97.24
"SN14",38.42,95.52
"3KS8",37.26,95.33
"13KS",37.7,97.11
"ANY",37.16,98.08
"7K6",37.08,97.96
"2K8",37.28,97.76
"30KS",37.13,97.07
"7KS3",37.53,94.7
"K58",37.17,99.78
"K59",39.57,95.18
"ADT",39.84,101.04
"20KS",37.68,96.89
"3AU",37.67,97.08
"SN20",37.72,97.05
"SN19",37.63,97.1
"07KS",37.73,96.94
"SN18",37.67,97.02
"SN21",38.82,95.29
"47KS",38.77,95.27
"K64",38.84,95.18
"SN22",39.11,94.96
"8KS1",39.17,94.98
"78KS",37.02,94.8
"59KS",38.41,95.02
"SN07",37.66,96.53
"SN10",37.4,97.21
"SN32",37.43,97.27
"RPB",39.82,97.66
"K61",39.47,98.13
"08KS",39.03,97.58
"7KS9",37.85,97.51
"SN62",37.87,97.51
"1K1",37.78,97.11
"SN46",37.87,97.07
"SN25",37.42,101.56
"5K0",39.74,101.56
"4KS8",39.59,101.59
"SN27",39.06,94.94
"1KS9",39.05,94.95
"SN28",38.87,97.94
"8K0",37.55,99.64
"SN78",38.7,94.72
"SN29",38.19,99.53
"UKL",38.3,95.73
"SN08",37.99,97.66
"SN48",37.79,98.85
"01K",37.04,97.59
"CNU",37.67,95.49
"8KS8",38.92,97.01
"SN13",37.66,97.77
"0KS7",37.69,97.89
"69KS",38.67,94.74
"8K8",37.83,100.35
"SN33",39.43,97.12
"CYW",39.39,97.16
"SN34",37.58,97.49
"CFV",37.09,95.57
"CBK",39.43,101.05
"3K8",37.23,99.33
"CNK",39.55,97.65
"SN36",37.43,97.64
"9K0",38.36,96.55
"K63",38.68,96.57
"4KS2",39.02,94.95
"06SN",37.58,97.25
"K50",37.57,97.17
"SN40",37.52,97.2
"35KS",37.53,97.31
"K65",38.49,100.48
"DDC",37.76,99.97
"0KS9",37.52,96.92
"60KS",37.51,97
"SN52",37.48,97.01
"1KS2",39.31,95.07
"SN43",39.5,95.47
"EQA",37.77,96.82
"SN58",37.87,96.65
"9K6",37.8,96.8
"SN44",37.3,95.9
"05KS",37.27,95.96
"EHA",37,101.88
"1K6",38.37,98.6
"9K7",38.75,98.23
"SN37",38.39,96.73
"51KS",38.64,97.21
"EMP",38.33,96.19
"6KS8",38.35,96.15
"SN04",38.42,96.37
"15KS",38.43,96.09
"1KS4",38.9,97.12
"SN47",38.77,96.11
"52KS",38.9,95.13
"13K",37.85,96.29
"FLV",39.37,94.91
"FRI",39.05,96.76
"FSK",37.8,94.77
"18K",37.38,100.19
"SN53",37.43,95.92
"1K7",37.58,95.84
"SN55",38.22,101
"36KS",37.47,95.34
"GCK",37.93,100.72
"K34",38.81,94.96
"00KS",38.73,94.93
"SN59",38.85,94.91
"K68",38.28,95.22
"9KS5",38.58,98.1
"SN41",37.5,94.83
"SN64",37.7,97.54
"SN65",37.59,97.62
"SN61",37.66,97.63
"27KS",39.13,101.72
"5KS2",39.34,101.67
"GLD",39.37,101.7
"9KS6",38.81,100.57
"SN67",38.38,98.75
"GBD",38.34,98.86
"8K7",37.6,99.28
"45KS",37.4,96.45
"SN05",38.03,97.51
"8KS2",37.94,96.23
"SN69",37.93,94.64
"SN71",37.3,97.96
"5KS3",37.28,98.02
"8K2",37.28,98.04
"SN70",37.25,97.95
"SN72",38.3,95.44
"9KS7",38.28,95.44
"4KS6",38.24,95.91
"SN63",37.61,99.12
"HYS",38.84,99.27
"73KS",38.78,99.22
"8KS4",38.91,99.35
"32KS",38.59,100.61
"HRU",38.69,96.81
"53KS",38.11,97.43
"8KS3",39.85,95.48
"K87",39.88,95.53
"SN75",39.87,95.33
"HLC",39.38,99.83
"M66",38.34,97.21
"87KS",38.59,98.4
"7KS4",39.63,95.44
"K91",39.68,95.53
"37KS",37.48,96.34
"1F5",39.37,100.44
"HQG",37.16,101.37
"7KS5",37.8,95.34
"HUT",38.07,97.86
"IDP",37.16,95.78
"66KS",37.16,95.87
"30K",37.91,100.53
"K88",37.87,95.39
"9KS4",39.64,98.36
"K79",37.98,99.89
"SN77",37.4,101.77
"2K3",37.58,101.73
"3JC",39.04,96.84
"5KS4",39.23,101.98
"SN16",37.86,97.27
"9K8",37.67,98.12
"33K",37.91,99.4
"25KS",39.68,99.13
"K94",38.55,99.29
"36K",37.97,101.26
"SN83",39.23,94.95
"72KS",39.27,94.88
"LQR",38.21,99.09
"LWC",39.01,95.22
"SN45",38.83,95.27
"SN84",39.27,94.99
"6KS7",39.98,98.51
"SN03",39.63,100.02
"3K7",38.46,101.35
"LBL",37.04,100.96
"K71",39.06,98.17
"01KS",38.54,97
"SN88",38.57,94.71
"7KS6",38.63,94.77
"SN89",38.54,94.73
"38K",39.06,98.53
"39K",38.69,95.69
"LYO",38.34,98.23
"94KS",37.98,98.97
"SN91",38.11,96.12
"MHK",39.14,96.67
"49KS",39.21,96.67
"43KS",39.1,96.42
"SN92",39.33,96.7
"TKO",39.8,98.22
"43K",38.34,96.99
"MYZ",39.86,96.63
